,﻿省份,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
0,广东,62367,1189,10000,52359,993,8,0,0,1171
1,广东,61178,1111,9804,51366,917,8,0,0,1075
2,广东,60067,502,9610,50449,568,8,0,0,846
3,广东,59565,932,9676,49881,789,8,0,0,915
4,广东,58633,1003,9533,49092,837,8,0,0,990
5,广东,57630,1082,9367,48255,877,8,0,0,1065
6,广东,56548,875,9162,47378,1255,8,0,0,857
7,广东,55673,1048,9542,46123,1820,8,0,1817,1044
8,广东,54625,797,10314,44303,1819,8,0,1264,775
9,广东,53828,900,11336,42484,1749,8,0,1468,879
10,广东,52928,762,12185,40735,2004,8,0,1791,735
11,广东,52166,1125,13427,38731,2034,8,0,1819,1115
12,广东,51041,1403,14336,36697,1627,8,0,1989,1391
13,广东,49638,1451,14560,35070,1455,8,0,2713,1437
14,广东,48187,1737,14564,33615,1377,8,0,3200,1719
15,广东,46450,2135,14204,32238,1185,8,0,3421,2120
16,广东,44315,1703,13254,31053,1675,8,0,4816,1686
17,广东,42612,1882,13226,29378,1606,8,0,4785,1868
18,广东,40730,1678,12950,27772,1622,8,0,5053,1666
19,广东,39052,1798,12894,26150,1356,8,0,6010,1782
20,广东,37254,1611,12452,24794,1094,8,0,6315,1599
21,广东,35643,1529,11935,23700,1228,8,0,7236,1518
22,广东,34114,1191,11634,22472,1276,8,0,7725,1168
23,广东,32923,1368,11719,21196,1004,8,0,7761,1347
24,广东,31555,1408,11355,20192,964,8,0,7705,1386
25,广东,30147,1016,10911,19228,840,8,0,7405,991
26,广东,29131,915,10735,18388,991,8,0,7584,892
27,广东,28216,1810,10811,17397,842,8,0,7505,1791
28,广东,26406,883,9843,16555,595,8,0,7951,860
29,广东,25523,816,9555,15960,611,8,0,8241,781
30,广东,24707,1022,9350,15349,569,8,0,8101,984
31,广东,23685,1178,8897,14780,699,8,0,8381,1157
32,广东,22507,1115,8418,14081,484,8,0,8535,1102
33,广东,21392,1358,7787,13597,543,8,0,9110,1338
34,广东,20034,1256,6972,13054,248,8,0,8576,1246
35,广东,18778,588,5964,12806,285,8,0,6215,564
36,广东,18190,605,5661,12521,238,8,0,5047,586
37,广东,17585,726,5294,12283,279,8,0,3941,707
38,广东,16859,742,4847,12004,148,8,0,3541,727
39,广东,16117,769,4253,11856,164,8,0,2996,760
40,广东,15348,569,3648,11692,90,8,0,2461,546
41,广东,14779,514,3169,11602,69,8,0,2507,500
42,广东,14265,608,2724,11533,63,8,0,2611,592
43,广东,13657,331,2179,11470,80,8,0,2330,319
44,广东,13326,234,1928,11390,80,8,0,1882,224
45,广东,13092,273,1774,11310,51,8,0,1330,252
46,广东,12819,228,1552,11259,59,8,0,669,219
47,广东,12591,208,1383,11200,53,8,0,470,195
48,广东,12383,115,1228,11147,45,8,0,356,103
49,广东,12268,136,1158,11102,32,8,0,298,125
50,广东,12132,248,1054,11070,37,8,0,458,242
51,广东,11884,299,843,11033,58,8,0,468,291
52,广东,11585,97,602,10975,42,8,0,195,83
53,广东,11488,77,547,10933,62,8,0,136,63
54,广东,11411,38,532,10871,56,8,0,88,27
55,广东,11373,20,550,10815,42,8,0,84,15
56,广东,11353,51,572,10773,56,8,0,67,45
57,广东,11302,45,577,10717,63,8,0,62,33
58,广东,11257,42,595,10654,73,8,0,70,23
59,广东,11215,41,626,10581,61,8,0,59,32
60,广东,11174,36,646,10520,38,8,0,74,19
61,广东,11138,52,648,10482,48,8,0,62,27
62,广东,11086,40,644,10434,68,8,0,58,26
63,广东,11046,62,672,10366,59,8,0,48,50
64,广东,10984,47,669,10307,61,8,0,61,36
65,广东,10937,41,683,10246,51,8,0,38,23
66,广东,10896,53,693,10195,32,8,0,29,35
67,广东,10843,84,672,10163,36,8,0,29,60
68,广东,10759,68,624,10127,36,8,0,21,53
69,广东,10691,53,592,10091,43,8,0,17,36
70,广东,10638,57,582,10048,41,8,0,11,43
71,广东,10581,65,566,10007,35,8,0,25,38
72,广东,10516,58,536,9972,30,8,0,24,31
73,广东,10458,48,508,9942,21,8,0,21,34
74,广东,10410,57,481,9921,17,8,0,27,47
75,广东,10353,68,441,9904,27,8,0,34,41
76,广东,10285,56,400,9877,13,8,0,27,37
77,广东,10229,52,357,9864,23,8,0,24,34
78,广东,10177,46,328,9841,23,8,0,16,27
79,广东,10131,30,305,9818,24,8,0,24,19
80,广东,10101,46,299,9794,12,8,0,10,17
81,广东,10055,33,265,9782,14,8,0,21,22
82,广东,10022,31,246,9768,26,8,0,15,16
83,广东,9991,39,241,9742,20,8,0,5,18
84,广东,9952,19,222,9722,9,8,0,2,4
85,广东,9933,26,212,9713,28,8,0,5,12
86,广东,9907,26,214,9685,30,8,0,5,7
87,广东,9881,18,218,9655,36,8,0,0,6
88,广东,9863,20,236,9619,32,8,0,0,5
89,广东,9843,16,248,9587,58,8,0,4,2
90,广东,9827,14,290,9529,33,8,0,2,1
91,广东,9813,15,309,9496,64,8,0,2,3
92,广东,9798,15,358,9432,52,8,0,1,0
93,广东,9783,12,395,9380,69,8,0,2,1
94,广东,9771,9,452,9311,57,8,0,1,2
95,广东,9762,18,500,9254,54,8,0,1,3
96,广东,9744,15,536,9200,60,8,0,1,5
97,广东,9729,13,581,9140,65,8,0,4,5
98,广东,9716,17,633,9075,64,8,0,3,6
99,广东,9699,19,680,9011,52,8,0,4,7
