﻿省份,时间,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,2022/12/20,62367,1189,10000,52359,993,8,0,0,1171
广东,2022/12/19,61178,1111,9804,51366,917,8,0,0,1075
广东,2022/12/18,60067,502,9610,50449,568,8,0,0,846
广东,2022/12/17,59565,932,9676,49881,789,8,0,0,915
广东,2022/12/16,58633,1003,9533,49092,837,8,0,0,990
广东,2022/12/15,57630,1082,9367,48255,877,8,0,0,1065
广东,2022/12/14,56548,875,9162,47378,1255,8,0,0,857
广东,2022/12/13,55673,1048,9542,46123,1820,8,0,1817,1044
广东,2022/12/12,54625,797,10314,44303,1819,8,0,1264,775
广东,2022/12/11,53828,900,11336,42484,1749,8,0,1468,879
广东,2022/12/10,52928,762,12185,40735,2004,8,0,1791,735
广东,2022/12/9,52166,1125,13427,38731,2034,8,0,1819,1115
广东,2022/12/8,51041,1403,14336,36697,1627,8,0,1989,1391
广东,2022/12/7,49638,1451,14560,35070,1455,8,0,2713,1437
广东,2022/12/6,48187,1737,14564,33615,1377,8,0,3200,1719
广东,2022/12/5,46450,2135,14204,32238,1185,8,0,3421,2120
广东,2022/12/4,44315,1703,13254,31053,1675,8,0,4816,1686
广东,2022/12/3,42612,1882,13226,29378,1606,8,0,4785,1868
广东,2022/12/2,40730,1678,12950,27772,1622,8,0,5053,1666
广东,2022/12/1,39052,1798,12894,26150,1356,8,0,6010,1782
广东,2022/11/30,37254,1611,12452,24794,1094,8,0,6315,1599
广东,2022/11/29,35643,1529,11935,23700,1228,8,0,7236,1518
广东,2022/11/28,34114,1191,11634,22472,1276,8,0,7725,1168
广东,2022/11/27,32923,1368,11719,21196,1004,8,0,7761,1347
广东,2022/11/26,31555,1408,11355,20192,964,8,0,7705,1386
广东,2022/11/25,30147,1016,10911,19228,840,8,0,7405,991
广东,2022/11/24,29131,915,10735,18388,991,8,0,7584,892
广东,2022/11/23,28216,1810,10811,17397,842,8,0,7505,1791
广东,2022/11/22,26406,883,9843,16555,595,8,0,7951,860
广东,2022/11/21,25523,816,9555,15960,611,8,0,8241,781
广东,2022/11/20,24707,1022,9350,15349,569,8,0,8101,984
广东,2022/11/19,23685,1178,8897,14780,699,8,0,8381,1157
广东,2022/11/18,22507,1115,8418,14081,484,8,0,8535,1102
广东,2022/11/17,21392,1358,7787,13597,543,8,0,9110,1338
广东,2022/11/16,20034,1256,6972,13054,248,8,0,8576,1246
广东,2022/11/15,18778,588,5964,12806,285,8,0,6215,564
广东,2022/11/14,18190,605,5661,12521,238,8,0,5047,586
广东,2022/11/13,17585,726,5294,12283,279,8,0,3941,707
广东,2022/11/12,16859,742,4847,12004,148,8,0,3541,727
广东,2022/11/11,16117,769,4253,11856,164,8,0,2996,760
广东,2022/11/10,15348,569,3648,11692,90,8,0,2461,546
广东,2022/11/9,14779,514,3169,11602,69,8,0,2507,500
广东,2022/11/8,14265,608,2724,11533,63,8,0,2611,592
广东,2022/11/7,13657,331,2179,11470,80,8,0,2330,319
广东,2022/11/6,13326,234,1928,11390,80,8,0,1882,224
广东,2022/11/5,13092,273,1774,11310,51,8,0,1330,252
广东,2022/11/4,12819,228,1552,11259,59,8,0,669,219
广东,2022/11/3,12591,208,1383,11200,53,8,0,470,195
广东,2022/11/2,12383,115,1228,11147,45,8,0,356,103
广东,2022/11/1,12268,136,1158,11102,32,8,0,298,125
广东,2022/10/31,12132,248,1054,11070,37,8,0,458,242
广东,2022/10/30,11884,299,843,11033,58,8,0,468,291
广东,2022/10/29,11585,97,602,10975,42,8,0,195,83
广东,2022/10/28,11488,77,547,10933,62,8,0,136,63
广东,2022/10/27,11411,38,532,10871,56,8,0,88,27
广东,2022/10/26,11373,20,550,10815,42,8,0,84,15
广东,2022/10/25,11353,51,572,10773,56,8,0,67,45
广东,2022/10/24,11302,45,577,10717,63,8,0,62,33
广东,2022/10/23,11257,42,595,10654,73,8,0,70,23
广东,2022/10/22,11215,41,626,10581,61,8,0,59,32
广东,2022/10/21,11174,36,646,10520,38,8,0,74,19
广东,2022/10/20,11138,52,648,10482,48,8,0,62,27
广东,2022/10/19,11086,40,644,10434,68,8,0,58,26
广东,2022/10/18,11046,62,672,10366,59,8,0,48,50
广东,2022/10/17,10984,47,669,10307,61,8,0,61,36
广东,2022/10/16,10937,41,683,10246,51,8,0,38,23
广东,2022/10/15,10896,53,693,10195,32,8,0,29,35
