新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计治愈
1189,10000,993,8,0,0,1171,52359
1111,9804,917,8,0,0,1075,51366
502,9610,568,8,0,0,846,50449
932,9676,789,8,0,0,915,49881
1003,9533,837,8,0,0,990,49092
1082,9367,877,8,0,0,1065,48255
875,9162,1255,8,0,0,857,47378
1048,9542,1820,8,0,1817,1044,46123
797,10314,1819,8,0,1264,775,44303
900,11336,1749,8,0,1468,879,42484
762,12185,2004,8,0,1791,735,40735
1125,13427,2034,8,0,1819,1115,38731
1403,14336,1627,8,0,1989,1391,36697
1451,14560,1455,8,0,2713,1437,35070
1737,14564,1377,8,0,3200,1719,33615
2135,14204,1185,8,0,3421,2120,32238
1703,13254,1675,8,0,4816,1686,31053
1882,13226,1606,8,0,4785,1868,29378
1678,12950,1622,8,0,5053,1666,27772
1798,12894,1356,8,0,6010,1782,26150
1611,12452,1094,8,0,6315,1599,24794
1529,11935,1228,8,0,7236,1518,23700
1191,11634,1276,8,0,7725,1168,22472
1368,11719,1004,8,0,7761,1347,21196
1408,11355,964,8,0,7705,1386,20192
1016,10911,840,8,0,7405,991,19228
915,10735,991,8,0,7584,892,18388
1810,10811,842,8,0,7505,1791,17397
883,9843,595,8,0,7951,860,16555
816,9555,611,8,0,8241,781,15960
1022,9350,569,8,0,8101,984,15349
1178,8897,699,8,0,8381,1157,14780
1115,8418,484,8,0,8535,1102,14081
1358,7787,543,8,0,9110,1338,13597
1256,6972,248,8,0,8576,1246,13054
588,5964,285,8,0,6215,564,12806
605,5661,238,8,0,5047,586,12521
726,5294,279,8,0,3941,707,12283
742,4847,148,8,0,3541,727,12004
769,4253,164,8,0,2996,760,11856
569,3648,90,8,0,2461,546,11692
514,3169,69,8,0,2507,500,11602
608,2724,63,8,0,2611,592,11533
331,2179,80,8,0,2330,319,11470
234,1928,80,8,0,1882,224,11390
273,1774,51,8,0,1330,252,11310
228,1552,59,8,0,669,219,11259
208,1383,53,8,0,470,195,11200
