新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计确诊
1189,10000,993,8,0,0,1171,62367
1111,9804,917,8,0,0,1075,61178
502,9610,568,8,0,0,846,60067
932,9676,789,8,0,0,915,59565
1003,9533,837,8,0,0,990,58633
1082,9367,877,8,0,0,1065,57630
875,9162,1255,8,0,0,857,56548
1048,9542,1820,8,0,1817,1044,55673
797,10314,1819,8,0,1264,775,54625
900,11336,1749,8,0,1468,879,53828
762,12185,2004,8,0,1791,735,52928
1125,13427,2034,8,0,1819,1115,52166
1403,14336,1627,8,0,1989,1391,51041
1451,14560,1455,8,0,2713,1437,49638
1737,14564,1377,8,0,3200,1719,48187
2135,14204,1185,8,0,3421,2120,46450
1703,13254,1675,8,0,4816,1686,44315
1882,13226,1606,8,0,4785,1868,42612
1678,12950,1622,8,0,5053,1666,40730
1798,12894,1356,8,0,6010,1782,39052
1611,12452,1094,8,0,6315,1599,37254
1529,11935,1228,8,0,7236,1518,35643
1191,11634,1276,8,0,7725,1168,34114
1368,11719,1004,8,0,7761,1347,32923
1408,11355,964,8,0,7705,1386,31555
1016,10911,840,8,0,7405,991,30147
915,10735,991,8,0,7584,892,29131
1810,10811,842,8,0,7505,1791,28216
883,9843,595,8,0,7951,860,26406
816,9555,611,8,0,8241,781,25523
1022,9350,569,8,0,8101,984,24707
1178,8897,699,8,0,8381,1157,23685
1115,8418,484,8,0,8535,1102,22507
1358,7787,543,8,0,9110,1338,21392
1256,6972,248,8,0,8576,1246,20034
588,5964,285,8,0,6215,564,18778
605,5661,238,8,0,5047,586,18190
726,5294,279,8,0,3941,707,17585
742,4847,148,8,0,3541,727,16859
769,4253,164,8,0,2996,760,16117
569,3648,90,8,0,2461,546,15348
514,3169,69,8,0,2507,500,14779
608,2724,63,8,0,2611,592,14265
331,2179,80,8,0,2330,319,13657
234,1928,80,8,0,1882,224,13326
273,1774,51,8,0,1330,252,13092
228,1552,59,8,0,669,219,12819
208,1383,53,8,0,470,195,12591
115,1228,45,8,0,356,103,12383
136,1158,32,8,0,298,125,12268
248,1054,37,8,0,458,242,12132
299,843,58,8,0,468,291,11884
97,602,42,8,0,195,83,11585
77,547,62,8,0,136,63,11488
38,532,56,8,0,88,27,11411
20,550,42,8,0,84,15,11373
51,572,56,8,0,67,45,11353
45,577,63,8,0,62,33,11302
42,595,73,8,0,70,23,11257
41,626,61,8,0,59,32,11215
36,646,38,8,0,74,19,11174
52,648,48,8,0,62,27,11138
40,644,68,8,0,58,26,11086
62,672,59,8,0,48,50,11046
47,669,61,8,0,61,36,10984
41,683,51,8,0,38,23,10937
53,693,32,8,0,29,35,10896
84,672,36,8,0,29,60,10843
68,624,36,8,0,21,53,10759
53,592,43,8,0,17,36,10691
57,582,41,8,0,11,43,10638
65,566,35,8,0,25,38,10581
58,536,30,8,0,24,31,10516
48,508,21,8,0,21,34,10458
57,481,17,8,0,27,47,10410
68,441,27,8,0,34,41,10353
56,400,13,8,0,27,37,10285
52,357,23,8,0,24,34,10229
46,328,23,8,0,16,27,10177
30,305,24,8,0,24,19,10131
46,299,12,8,0,10,17,10101
33,265,14,8,0,21,22,10055
31,246,26,8,0,15,16,10022
39,241,20,8,0,5,18,9991
19,222,9,8,0,2,4,9952
26,212,28,8,0,5,12,9933
26,214,30,8,0,5,7,9907
18,218,36,8,0,0,6,9881
20,236,32,8,0,0,5,9863
16,248,58,8,0,4,2,9843
14,290,33,8,0,2,1,9827
15,309,64,8,0,2,3,9813
15,358,52,8,0,1,0,9798
12,395,69,8,0,2,1,9783
9,452,57,8,0,1,2,9771
18,500,54,8,0,1,3,9762
15,536,60,8,0,1,5,9744
