城市,日期,累计确诊
东莞,2022/12/17,940
东莞,2022/12/16,940
东莞,2022/12/15,940
东莞,2022/12/14,939
东莞,2022/12/13,911
东莞,2022/12/12,905
东莞,2022/12/11,905
东莞,2022/12/10,891
东莞,2022/12/9,891
东莞,2022/12/8,877
东莞,2022/12/7,877
东莞,2022/12/6,877
东莞,2022/12/5,859
东莞,2022/12/4,859
东莞,2022/12/3,844
东莞,2022/12/2,827
东莞,2022/12/1,827
东莞,2022/11/30,827
东莞,2022/11/29,801
东莞,2022/11/28,762
东莞,2022/11/27,743
东莞,2022/11/26,703
东莞,2022/11/25,684
东莞,2022/11/24,675
东莞,2022/11/23,673
东莞,2022/11/22,655
东莞,2022/11/21,636
东莞,2022/11/20,636
东莞,2022/11/19,634
东莞,2022/11/18,615
东莞,2022/11/17,596
东莞,2022/11/16,574
东莞,2022/11/15,555
东莞,2022/11/14,539
东莞,2022/11/13,539
东莞,2022/11/12,538
东莞,2022/11/11,536
东莞,2022/11/10,535
东莞,2022/11/9,533
东莞,2022/11/8,532
东莞,2022/11/7,530
东莞,2022/11/6,530
东莞,2022/11/5,529
东莞,2022/11/4,528
东莞,2022/11/3,527
东莞,2022/11/2,527
东莞,2022/11/1,526
东莞,2022/10/31,526
东莞,2022/10/30,526
东莞,2022/10/29,526
东莞,2022/10/28,524
东莞,2022/10/27,522
东莞,2022/10/26,522
东莞,2022/10/25,522
东莞,2022/10/24,522
东莞,2022/10/23,522
东莞,2022/10/22,521
东莞,2022/10/21,521
东莞,2022/10/20,521
东莞,2022/10/19,521
东莞,2022/10/18,520
东莞,2022/10/17,517
东莞,2022/10/16,517
东莞,2022/10/15,516
东莞,2022/10/14,510
东莞,2022/10/13,509
东莞,2022/10/12,509
东莞,2022/10/11,509
东莞,2022/10/10,509
东莞,2022/10/9,507
东莞,2022/10/8,505
东莞,2022/10/7,505
东莞,2022/10/6,505
东莞,2022/10/5,505
东莞,2022/10/4,501
东莞,2022/10/3,499
东莞,2022/10/2,499
东莞,2022/10/1,499
东莞,2022/9/30,499
东莞,2022/9/29,499
东莞,2022/9/28,499
东莞,2022/9/27,497
东莞,2022/9/26,497
东莞,2022/9/25,497
东莞,2022/9/24,497
东莞,2022/9/23,497
东莞,2022/9/22,497
东莞,2022/9/21,497
东莞,2022/9/20,497
东莞,2022/9/19,497
东莞,2022/9/18,497
东莞,2022/9/17,497
东莞,2022/9/16,497
东莞,2022/9/15,497
东莞,2022/9/14,497
东莞,2022/9/13,497
东莞,2022/9/12,497
东莞,2022/9/11,497
东莞,2022/9/10,497
东莞,2022/9/9,497
东莞,2022/9/8,497
东莞,2022/9/7,497
东莞,2022/9/6,497
东莞,2022/9/5,497
东莞,2022/9/4,497
东莞,2022/9/3,497
东莞,2022/9/2,497
东莞,2022/9/1,497
东莞,2022/8/31,497
东莞,2022/8/30,497
东莞,2022/8/29,497
东莞,2022/8/28,497
东莞,2022/8/27,497
东莞,2022/8/26,497
东莞,2022/8/25,497
东莞,2022/8/24,497
