﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,中山,2022-12-17,864,27,155,0,0,0,0,27
广东,中山,2022-12-16,837,33,155,0,0,0,0,33
广东,中山,2022-12-15,804,35,155,0,0,0,0,34
广东,中山,2022-12-14,769,30,155,0,0,0,0,30
广东,中山,2022-12-13,739,33,155,0,0,0,11,32
广东,中山,2022-12-12,706,21,155,0,0,0,21,21
广东,中山,2022-12-11,685,21,155,0,0,0,6,21
广东,中山,2022-12-10,664,43,155,0,0,0,6,43
广东,中山,2022-12-09,621,40,155,0,0,0,6,40
广东,中山,2022-12-08,581,26,155,0,0,0,6,26
广东,中山,2022-12-07,555,47,155,0,0,0,32,47
广东,中山,2022-12-06,508,68,155,0,0,0,109,67
广东,中山,2022-12-05,440,4,155,0,0,0,123,4
广东,中山,2022-12-04,436,13,155,0,0,0,125,13
广东,中山,2022-12-03,423,98,155,0,0,0,52,97
广东,中山,2022-12-02,325,60,155,0,0,0,107,60
广东,中山,2022-12-01,265,13,155,0,0,0,84,13
广东,中山,2022-11-30,252,3,155,0,0,0,93,3
广东,中山,2022-11-29,249,7,155,0,0,0,95,6
广东,中山,2022-11-28,242,4,155,0,0,0,86,4
广东,中山,2022-11-27,238,0,155,0,0,0,63,0
广东,中山,2022-11-26,238,8,155,0,0,0,70,8
广东,中山,2022-11-25,230,3,155,0,0,0,47,3
广东,中山,2022-11-24,227,7,155,0,0,0,34,7
广东,中山,2022-11-23,220,6,155,0,0,0,25,6
广东,中山,2022-11-22,214,7,155,0,0,0,4,7
广东,中山,2022-11-21,207,5,155,0,0,0,5,5
广东,中山,2022-11-20,202,1,155,0,0,0,4,1
广东,中山,2022-11-19,201,1,155,0,0,0,3,1
广东,中山,2022-11-18,200,2,155,0,0,0,2,2
广东,中山,2022-11-17,198,1,155,0,0,0,0,1
广东,中山,2022-11-16,197,5,155,0,0,0,2,3
广东,中山,2022-11-15,192,1,155,0,0,0,1,0
广东,中山,2022-11-14,191,1,155,0,0,0,8,1
广东,中山,2022-11-13,190,0,155,0,0,0,2,0
广东,中山,2022-11-12,190,2,155,0,0,0,1,2
广东,中山,2022-11-11,188,0,155,0,0,0,2,0
广东,中山,2022-11-10,188,2,155,0,0,0,0,2
广东,中山,2022-11-09,186,0,155,0,0,0,0,0
广东,中山,2022-11-08,186,0,155,0,0,0,0,0
广东,中山,2022-11-07,186,1,155,0,0,0,0,0
广东,中山,2022-11-06,185,0,155,0,0,0,0,0
广东,中山,2022-11-05,185,0,155,0,0,0,0,0
广东,中山,2022-11-04,185,0,155,0,0,0,0,0
广东,中山,2022-11-03,185,0,155,0,0,0,0,0
广东,中山,2022-11-02,185,0,155,0,0,0,0,0
广东,中山,2022-11-01,185,0,155,0,0,0,0,0
广东,中山,2022-10-31,185,0,155,0,0,0,0,0
广东,中山,2022-10-30,185,0,155,0,0,0,0,0
广东,中山,2022-10-29,185,0,155,0,0,0,0,0
广东,中山,2022-10-28,185,0,155,0,0,0,0,0
广东,中山,2022-10-27,185,0,155,0,0,0,1,0
广东,中山,2022-10-26,185,0,155,0,0,0,0,0
广东,中山,2022-10-25,185,0,155,0,0,0,0,0
广东,中山,2022-10-24,185,0,155,0,0,0,0,0
广东,中山,2022-10-23,185,4,155,0,0,0,1,4
广东,中山,2022-10-22,181,0,155,0,0,0,4,0
广东,中山,2022-10-21,181,0,155,0,0,0,6,0
广东,中山,2022-10-20,181,0,155,0,0,0,7,0
广东,中山,2022-10-19,181,0,155,0,0,0,8,0
广东,中山,2022-10-18,181,2,155,0,0,0,5,2
广东,中山,2022-10-17,179,2,155,0,0,0,2,2
广东,中山,2022-10-16,177,2,155,0,0,0,1,2
广东,中山,2022-10-15,175,1,155,0,0,0,0,1
广东,中山,2022-10-14,174,1,155,0,0,0,0,1
广东,中山,2022-10-13,173,1,155,0,0,0,0,1
广东,中山,2022-10-12,172,1,155,0,0,0,0,1
广东,中山,2022-10-11,171,0,155,0,0,0,0,0
广东,中山,2022-10-10,171,0,155,0,0,0,0,0
广东,中山,2022-10-09,171,0,155,0,0,0,0,0
广东,中山,2022-10-08,171,2,155,0,0,0,0,1
广东,中山,2022-10-07,169,2,155,0,0,0,1,2
广东,中山,2022-10-06,167,0,155,0,0,0,3,0
广东,中山,2022-10-05,167,1,155,0,0,0,1,0
广东,中山,2022-10-04,166,0,155,0,0,0,0,0
广东,中山,2022-10-03,166,0,155,0,0,0,0,0
广东,中山,2022-10-02,166,0,155,0,0,0,0,0
广东,中山,2022-10-01,166,0,155,0,0,0,0,0
广东,中山,2022-09-30,166,0,155,0,0,0,0,0
广东,中山,2022-09-29,166,0,155,0,0,0,0,0
广东,中山,2022-09-28,166,1,155,0,0,0,0,0
广东,中山,2022-09-27,165,0,155,0,0,0,0,0
广东,中山,2022-09-26,165,1,155,0,0,0,0,0
广东,中山,2022-09-25,164,0,155,0,0,0,0,0
广东,中山,2022-09-24,164,0,155,0,0,0,0,0
广东,中山,2022-09-23,164,0,155,0,0,0,0,0
广东,中山,2022-09-22,164,0,155,0,0,0,0,0
广东,中山,2022-09-21,164,0,155,0,0,0,0,0
广东,中山,2022-09-20,164,0,155,0,0,0,0,0
广东,中山,2022-09-19,164,0,155,0,0,0,0,0
广东,中山,2022-09-18,164,0,155,0,0,0,0,0
广东,中山,2022-09-17,164,0,155,0,0,0,0,0
广东,中山,2022-09-16,164,0,155,0,0,0,0,0
广东,中山,2022-09-15,164,0,155,0,0,0,0,0
广东,中山,2022-09-14,164,0,155,0,0,0,0,0
广东,中山,2022-09-13,164,0,155,0,0,0,0,0
广东,中山,2022-09-12,164,0,155,0,0,0,0,0
广东,中山,2022-09-11,164,2,155,0,0,0,0,0
广东,中山,2022-09-10,162,0,155,0,0,0,0,0
广东,中山,2022-09-09,162,1,155,0,0,0,0,0
广东,中山,2022-09-08,161,0,155,0,0,0,0,0
广东,中山,2022-09-07,161,0,155,0,0,0,0,0
广东,中山,2022-09-06,161,0,155,0,0,0,0,0
广东,中山,2022-09-05,161,0,155,0,0,0,0,0
广东,中山,2022-09-04,161,1,155,0,0,0,0,0
广东,中山,2022-09-03,160,0,155,0,0,0,0,0
广东,中山,2022-09-02,160,0,155,0,0,0,0,0
广东,中山,2022-09-01,160,0,155,0,0,0,0,0
广东,中山,2022-08-31,160,1,155,0,0,0,0,0
广东,中山,2022-08-30,159,0,155,0,0,0,0,0
广东,中山,2022-08-29,159,0,155,0,0,0,0,0
广东,中山,2022-08-28,159,0,155,0,0,0,0,0
广东,中山,2022-08-27,159,1,155,0,0,0,0,0
广东,中山,2022-08-26,158,0,155,0,0,0,0,0
广东,中山,2022-08-25,158,0,155,0,0,0,0,0
广东,中山,2022-08-24,158,0,155,0,0,0,0,0
广东,中山,2022-08-23,158,0,155,0,0,0,0,0
广东,中山,2022-08-22,158,0,155,0,0,0,0,0
广东,中山,2022-08-21,158,0,155,0,0,0,0,0
广东,中山,2022-08-20,158,0,155,0,0,0,0,0
广东,中山,2022-08-19,158,0,155,0,0,0,0,0
广东,中山,2022-08-18,158,0,155,0,0,0,0,0
广东,中山,2022-08-17,158,0,155,0,0,0,0,0
广东,中山,2022-08-16,158,0,155,0,0,0,0,0
广东,中山,2022-08-15,158,0,155,0,0,0,0,0
广东,中山,2022-08-14,158,0,155,0,0,0,0,0
广东,中山,2022-08-13,158,0,155,0,0,0,0,0
广东,中山,2022-08-12,158,0,155,0,0,0,0,0
广东,中山,2022-08-11,158,1,155,0,0,0,0,0
广东,中山,2022-08-10,157,0,155,0,0,0,0,0
广东,中山,2022-08-09,157,0,155,0,0,0,0,0
广东,中山,2022-08-08,157,0,155,0,0,0,0,0
广东,中山,2022-08-07,157,0,155,0,0,0,0,0
广东,中山,2022-08-06,157,0,155,0,0,0,0,0
广东,中山,2022-08-05,157,1,155,0,0,0,0,0
广东,中山,2022-08-04,156,0,155,0,0,0,0,0
广东,中山,2022-08-03,156,0,155,1,0,0,0,0
广东,中山,2022-08-02,156,0,154,0,0,0,0,0
广东,中山,2022-08-01,156,1,154,0,0,0,0,0
广东,中山,2022-07-31,155,0,154,0,0,0,0,0
广东,中山,2022-07-30,155,0,154,0,0,0,0,0
广东,中山,2022-07-29,155,0,154,7,0,0,0,0
广东,中山,2022-07-28,155,0,147,0,0,0,0,0
广东,中山,2022-07-27,155,0,147,0,0,0,0,0
广东,中山,2022-07-26,155,0,147,2,0,0,0,0
广东,中山,2022-07-25,155,0,145,0,0,0,0,0
广东,中山,2022-07-24,155,0,145,2,0,0,0,0
广东,中山,2022-07-23,155,0,143,0,0,0,0,0
广东,中山,2022-07-22,155,1,143,4,0,0,0,1
广东,中山,2022-07-21,154,2,139,2,0,0,0,2
广东,中山,2022-07-20,152,1,137,3,0,0,0,0
广东,中山,2022-07-19,151,0,134,4,0,0,0,0
广东,中山,2022-07-18,151,0,130,3,0,0,2,0
广东,中山,2022-07-17,151,0,127,1,0,0,0,0
广东,中山,2022-07-16,151,1,126,0,0,0,0,1
广东,中山,2022-07-15,150,2,126,0,0,0,0,2
广东,中山,2022-07-14,148,4,126,0,0,0,0,4
广东,中山,2022-07-13,144,0,126,0,0,0,1,0
广东,中山,2022-07-12,144,3,126,0,0,0,0,3
广东,中山,2022-07-11,141,9,126,0,0,0,5,9
广东,中山,2022-07-10,132,5,126,1,0,0,0,5
广东,中山,2022-07-09,127,1,125,0,0,0,0,1
广东,中山,2022-07-08,126,0,125,0,0,0,0,0
广东,中山,2022-07-07,126,0,125,0,0,0,0,0
广东,中山,2022-07-06,126,0,125,0,0,0,0,0
广东,中山,2022-07-05,126,0,125,0,0,0,0,0
广东,中山,2022-07-04,126,0,125,0,0,0,0,0
广东,中山,2022-07-03,126,0,125,0,0,0,0,0
广东,中山,2022-07-02,126,0,125,0,0,0,0,0
广东,中山,2022-07-01,126,0,125,0,0,0,0,0
广东,中山,2022-06-30,126,0,125,0,0,0,0,0
广东,中山,2022-06-29,126,0,125,0,0,0,0,0
广东,中山,2022-06-28,126,0,125,0,0,0,0,0
广东,中山,2022-06-27,126,0,125,0,0,0,0,0
广东,中山,2022-06-26,126,1,125,0,0,0,0,0
广东,中山,2022-06-25,125,0,125,0,0,0,0,0
广东,中山,2022-06-24,125,0,125,0,0,0,0,0
广东,中山,2022-06-23,125,0,125,0,0,0,0,0
广东,中山,2022-06-22,125,0,125,0,0,0,0,0
广东,中山,2022-06-21,125,0,125,0,0,0,0,0
广东,中山,2022-06-20,125,0,125,0,0,0,0,0
广东,中山,2022-06-19,125,0,125,0,0,0,0,0
广东,中山,2022-06-18,125,0,125,0,0,0,0,0
广东,中山,2022-06-17,125,0,125,0,0,0,0,0
广东,中山,2022-06-16,125,0,125,0,0,0,0,0
广东,中山,2022-06-15,125,0,125,0,0,0,0,0
广东,中山,2022-06-14,125,0,125,0,0,0,0,0
广东,中山,2022-06-13,125,0,125,0,0,0,0,0
广东,中山,2022-06-12,125,0,125,0,0,0,0,0
广东,中山,2022-06-11,125,0,125,0,0,0,0,0
广东,中山,2022-06-10,125,0,125,0,0,0,0,0
广东,中山,2022-06-09,125,0,125,0,0,0,0,0
广东,中山,2022-06-08,125,0,125,0,0,0,0,0
广东,中山,2022-06-07,125,0,125,0,0,0,0,0
广东,中山,2022-06-06,125,0,125,0,0,0,0,0
广东,中山,2022-06-05,125,0,125,0,0,0,0,0
广东,中山,2022-06-04,125,0,125,0,0,0,0,0
广东,中山,2022-06-03,125,0,125,0,0,0,0,0
广东,中山,2022-06-02,125,0,125,0,0,0,0,0
广东,中山,2022-06-01,125,0,125,0,0,0,0,0
广东,中山,2022-05-31,125,0,125,0,0,0,0,0
广东,中山,2022-05-30,125,0,125,0,0,0,0,0
广东,中山,2022-05-29,125,0,125,0,0,0,0,0
广东,中山,2022-05-28,125,0,125,0,0,0,0,0
广东,中山,2022-05-27,125,0,125,0,0,0,0,0
广东,中山,2022-05-26,125,0,125,0,0,0,0,0
广东,中山,2022-05-25,125,0,125,0,0,0,0,0
广东,中山,2022-05-24,125,0,125,0,0,0,0,0
广东,中山,2022-05-23,125,0,125,0,0,0,0,0
广东,中山,2022-05-22,125,0,125,0,0,0,0,0
广东,中山,2022-05-21,125,0,125,0,0,0,0,0
广东,中山,2022-05-20,125,0,125,0,0,0,0,0
广东,中山,2022-05-19,125,0,125,0,0,0,0,0
广东,中山,2022-05-18,125,0,125,1,0,0,0,0
广东,中山,2022-05-17,125,0,124,0,0,0,0,0
广东,中山,2022-05-16,125,0,124,1,0,0,0,0
广东,中山,2022-05-15,125,0,123,0,0,0,0,0
广东,中山,2022-05-14,125,0,123,0,0,0,0,0
广东,中山,2022-05-13,125,0,123,0,0,0,0,0
广东,中山,2022-05-12,125,1,123,0,0,0,0,1
广东,中山,2022-05-11,124,0,123,0,0,0,0,0
广东,中山,2022-05-10,124,0,123,0,0,0,0,0
广东,中山,2022-05-09,124,0,123,0,0,0,0,0
广东,中山,2022-05-08,124,1,123,0,0,0,0,1
广东,中山,2022-05-07,123,0,123,0,0,0,0,0
广东,中山,2022-05-06,123,0,123,0,0,0,0,0
广东,中山,2022-05-05,123,0,123,0,0,0,0,0
广东,中山,2022-05-04,123,0,123,0,0,0,0,0
广东,中山,2022-05-03,123,0,123,0,0,0,0,0
广东,中山,2022-05-02,123,0,123,0,0,0,0,0
广东,中山,2022-05-01,123,0,123,0,0,0,0,0
广东,中山,2022-04-30,123,0,123,0,0,0,0,0
广东,中山,2022-04-29,123,0,123,0,0,0,0,0
广东,中山,2022-04-28,123,0,123,0,0,0,0,0
广东,中山,2022-04-27,123,0,123,0,0,0,0,0
广东,中山,2022-04-26,123,0,123,0,0,0,0,0
广东,中山,2022-04-25,123,0,123,0,0,0,0,0
广东,中山,2022-04-24,123,0,123,1,0,0,0,0
广东,中山,2022-04-23,123,0,122,0,0,0,0,0
广东,中山,2022-04-22,123,0,122,0,0,0,0,0
广东,中山,2022-04-21,123,0,122,0,0,0,0,0
广东,中山,2022-04-20,123,0,122,0,0,0,0,0
广东,中山,2022-04-19,123,0,122,0,0,0,0,0
广东,中山,2022-04-18,123,0,122,0,0,0,0,0
广东,中山,2022-04-17,123,0,122,0,0,0,0,0
广东,中山,2022-04-16,123,0,122,0,0,0,0,0
广东,中山,2022-04-15,123,0,122,0,0,0,0,0
广东,中山,2022-04-14,123,0,122,0,0,0,0,0
广东,中山,2022-04-13,123,0,122,2,0,0,0,0
广东,中山,2022-04-12,123,0,120,2,0,0,0,0
广东,中山,2022-04-11,123,0,118,0,0,0,0,0
广东,中山,2022-04-10,123,1,118,0,0,0,0,1
广东,中山,2022-04-09,122,1,118,1,0,0,0,0
广东,中山,2022-04-08,121,0,117,2,0,0,0,0
广东,中山,2022-04-07,121,0,115,0,0,0,0,0
广东,中山,2022-04-06,121,1,115,0,0,0,0,0
广东,中山,2022-04-05,120,0,115,0,0,0,0,0
广东,中山,2022-04-04,120,0,115,0,0,0,0,0
广东,中山,2022-04-03,120,0,115,2,0,0,0,0
广东,中山,2022-04-02,120,1,113,0,0,0,0,0
广东,中山,2022-04-01,119,0,113,1,0,0,0,0
广东,中山,2022-03-31,119,1,112,0,0,0,0,1
广东,中山,2022-03-30,118,0,112,2,0,0,0,0
广东,中山,2022-03-29,118,1,110,0,0,0,0,0
广东,中山,2022-03-28,117,0,110,0,0,0,0,0
广东,中山,2022-03-27,117,0,110,0,0,0,0,0
广东,中山,2022-03-26,117,0,110,2,0,0,0,0
广东,中山,2022-03-25,117,0,108,0,0,0,0,0
广东,中山,2022-03-24,117,1,108,2,0,0,0,1
广东,中山,2022-03-23,116,2,106,0,0,0,0,1
广东,中山,2022-03-22,114,1,106,6,0,0,0,1
广东,中山,2022-03-21,113,2,100,2,0,0,0,2
广东,中山,2022-03-20,111,2,98,1,0,0,1,1
广东,中山,2022-03-19,109,0,97,7,0,0,3,0
广东,中山,2022-03-18,109,0,90,0,0,0,2,0
广东,中山,2022-03-17,109,1,90,0,0,0,0,0
广东,中山,2022-03-16,108,0,90,0,0,0,0,0
广东,中山,2022-03-15,108,1,90,2,0,0,0,1
广东,中山,2022-03-14,107,0,88,3,0,0,1,0
广东,中山,2022-03-13,107,1,85,0,0,0,0,1
广东,中山,2022-03-12,106,1,85,1,0,0,0,0
广东,中山,2022-03-11,105,0,84,3,0,0,0,0
广东,中山,2022-03-10,105,1,81,2,0,0,0,0
广东,中山,2022-03-09,104,2,79,0,0,0,0,0
广东,中山,2022-03-08,102,0,79,2,0,0,0,0
广东,中山,2022-03-07,102,4,77,0,0,0,0,0
广东,中山,2022-03-06,98,2,77,0,0,0,0,0
广东,中山,2022-03-05,96,0,77,0,0,0,0,0
广东,中山,2022-03-04,96,1,77,1,0,0,0,0
广东,中山,2022-03-03,95,4,76,0,0,0,0,0
广东,中山,2022-03-02,91,1,76,0,0,0,0,0
广东,中山,2022-03-01,90,1,76,0,0,0,0,0
广东,中山,2022-02-28,89,1,76,0,0,0,0,1
广东,中山,2022-02-27,88,1,76,0,0,0,0,0
广东,中山,2022-02-26,87,3,76,0,0,0,0,0
广东,中山,2022-02-25,84,0,76,0,0,0,0,0
广东,中山,2022-02-24,84,0,76,0,0,0,0,0
广东,中山,2022-02-23,84,1,76,0,0,0,0,0
广东,中山,2022-02-22,83,2,76,0,0,0,0,0
广东,中山,2022-02-21,81,1,76,0,0,0,0,0
广东,中山,2022-02-20,80,1,76,0,0,0,0,0
广东,中山,2022-02-19,79,0,76,0,0,0,0,0
广东,中山,2022-02-18,79,1,76,1,0,0,0,0
广东,中山,2022-02-17,78,1,75,0,0,0,0,0
广东,中山,2022-02-16,77,1,75,0,0,0,0,0
广东,中山,2022-02-15,76,0,75,0,0,0,0,0
广东,中山,2022-02-14,76,0,75,0,0,0,0,0
广东,中山,2022-02-13,76,0,75,0,0,0,0,0
广东,中山,2022-02-12,76,0,75,0,0,0,0,0
广东,中山,2022-02-11,76,0,75,0,0,0,0,0
广东,中山,2022-02-10,76,0,75,0,0,0,0,0
广东,中山,2022-02-09,76,0,75,0,0,0,0,0
广东,中山,2022-02-08,76,0,75,1,0,0,0,0
广东,中山,2022-02-07,76,0,74,0,0,0,0,0
广东,中山,2022-02-06,76,0,74,0,0,0,0,0
广东,中山,2022-02-05,76,0,74,1,0,0,0,0
广东,中山,2022-02-04,76,0,73,0,0,0,0,0
广东,中山,2022-02-03,76,0,73,0,0,0,0,0
广东,中山,2022-02-02,76,0,73,0,0,0,0,0
广东,中山,2022-02-01,76,0,73,0,0,0,0,0
广东,中山,2022-01-31,76,0,73,0,0,0,0,0
广东,中山,2022-01-30,76,0,73,0,0,0,0,0
广东,中山,2022-01-29,76,0,73,0,0,0,0,0
广东,中山,2022-01-28,76,0,73,0,0,0,0,0
广东,中山,2022-01-27,76,0,73,0,0,0,0,0
广东,中山,2022-01-26,76,0,73,0,0,0,0,0
广东,中山,2022-01-25,76,1,73,0,0,0,0,1
广东,中山,2022-01-24,75,0,73,0,0,0,0,0
广东,中山,2022-01-23,75,0,73,0,0,0,0,0
广东,中山,2022-01-22,75,0,73,0,0,0,0,0
广东,中山,2022-01-21,75,0,73,0,0,0,0,0
广东,中山,2022-01-20,75,0,73,0,0,0,0,0
