﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,佛山,2022-12-17,1613,49,472,0,0,0,0,48
广东,佛山,2022-12-16,1564,37,472,0,0,0,0,37
广东,佛山,2022-12-15,1527,48,472,0,0,0,0,48
广东,佛山,2022-12-14,1479,31,472,0,0,0,0,30
广东,佛山,2022-12-13,1448,24,472,0,0,0,65,23
广东,佛山,2022-12-12,1424,31,472,0,0,0,63,30
广东,佛山,2022-12-11,1393,29,472,0,0,0,65,29
广东,佛山,2022-12-10,1364,34,472,0,0,0,67,30
广东,佛山,2022-12-09,1330,19,472,0,0,0,73,18
广东,佛山,2022-12-08,1311,23,472,0,0,0,71,23
广东,佛山,2022-12-07,1288,19,472,0,0,0,74,19
广东,佛山,2022-12-06,1269,30,472,0,0,0,70,26
广东,佛山,2022-12-05,1239,20,472,0,0,0,165,18
广东,佛山,2022-12-04,1219,90,472,0,0,0,186,90
广东,佛山,2022-12-03,1129,92,472,0,0,0,296,91
广东,佛山,2022-12-02,1037,54,472,0,0,0,237,53
广东,佛山,2022-12-01,983,42,472,0,0,0,275,42
广东,佛山,2022-11-30,941,40,472,0,0,0,162,38
广东,佛山,2022-11-29,901,25,472,0,0,0,211,25
广东,佛山,2022-11-28,876,30,472,0,0,0,245,28
广东,佛山,2022-11-27,846,24,472,0,0,0,222,23
广东,佛山,2022-11-26,822,38,472,0,0,0,192,37
广东,佛山,2022-11-25,784,24,472,0,0,0,150,22
广东,佛山,2022-11-24,760,27,472,0,0,0,150,26
广东,佛山,2022-11-23,733,18,472,0,0,0,173,16
广东,佛山,2022-11-22,715,9,472,0,0,0,105,7
广东,佛山,2022-11-21,706,7,472,0,0,0,190,2
广东,佛山,2022-11-20,699,19,472,0,0,0,112,8
广东,佛山,2022-11-19,680,7,472,0,0,0,48,7
广东,佛山,2022-11-18,673,6,472,0,0,0,20,6
广东,佛山,2022-11-17,667,8,472,0,0,0,26,7
广东,佛山,2022-11-16,659,0,472,0,0,0,18,0
广东,佛山,2022-11-15,659,5,472,0,0,0,24,3
广东,佛山,2022-11-14,654,3,472,0,0,0,23,2
广东,佛山,2022-11-13,651,1,472,0,0,0,21,1
广东,佛山,2022-11-12,650,2,472,0,0,0,11,1
广东,佛山,2022-11-11,648,1,472,0,0,0,10,1
广东,佛山,2022-11-10,647,0,472,0,0,0,11,0
广东,佛山,2022-11-09,647,2,472,0,0,0,5,1
广东,佛山,2022-11-08,645,3,472,0,0,0,5,2
广东,佛山,2022-11-07,642,2,472,0,0,0,3,2
广东,佛山,2022-11-06,640,2,472,0,0,0,8,2
广东,佛山,2022-11-05,638,1,472,0,0,0,8,1
广东,佛山,2022-11-04,637,1,472,0,0,0,4,1
广东,佛山,2022-11-03,636,1,472,0,0,0,13,1
广东,佛山,2022-11-02,635,1,472,0,0,0,7,0
