﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,广州,2022-12-17,39924,415,21482,98,1,0,0,403
广东,广州,2022-12-16,39509,462,21384,748,1,0,0,451
广东,广州,2022-12-15,39047,520,20636,0,1,0,0,505
广东,广州,2022-12-14,38527,385,20636,0,1,0,0,370
广东,广州,2022-12-13,38142,555,20636,288,1,0,741,554
广东,广州,2022-12-12,37587,387,20348,774,1,0,434,366
广东,广州,2022-12-11,37200,447,19574,746,1,0,599,432
广东,广州,2022-12-10,36753,307,18828,846,1,0,817,286
广东,广州,2022-12-09,36446,598,17982,638,1,0,804,591
广东,广州,2022-12-08,35848,979,17344,583,1,0,1005,968
广东,广州,2022-12-07,34869,1048,16761,641,1,0,1640,1042
广东,广州,2022-12-06,33821,1238,16120,514,1,0,2090,1233
广东,广州,2022-12-05,32583,1511,15606,1013,1,0,2262,1505
广东,广州,2022-12-04,31072,1051,14593,356,1,0,3663,1044
广东,广州,2022-12-03,30021,1202,14237,328,1,0,3771,1197
广东,广州,2022-12-02,28819,1207,13909,370,1,0,4096,1201
广东,广州,2022-12-01,27612,1478,13539,206,1,0,5185,1468
广东,广州,2022-11-30,26134,1314,13333,1672,1,0,5629,1313
广东,广州,2022-11-29,24820,1238,11661,1035,1,0,6454,1236
广东,广州,2022-11-28,23582,970,10626,527,1,0,6993,959
广东,广州,2022-11-27,22612,1138,10099,1059,1,0,7166,1129
广东,广州,2022-11-26,21474,1189,9040,279,1,0,7266,1177
广东,广州,2022-11-25,20285,838,8761,546,1,0,7058,824
广东,广州,2022-11-24,19447,745,8215,672,1,0,7267,734
广东,广州,2022-11-23,18702,1650,7543,304,1,0,7192,1645
广东,广州,2022-11-22,17052,732,7239,208,1,0,7735,722
广东,广州,2022-11-21,16320,698,7031,308,1,0,7957,681
广东,广州,2022-11-20,15622,886,6723,370,1,0,7885,882
广东,广州,2022-11-19,14736,1057,6353,454,1,0,8234,1050
广东,广州,2022-11-18,13679,987,5899,465,1,0,8444,983
广东,广州,2022-11-17,12692,1251,5434,165,1,0,8989,1241
广东,广州,2022-11-16,11441,1192,5269,248,1,0,8486,1189
广东,广州,2022-11-15,10249,513,5021,145,1,0,6138,509
广东,广州,2022-11-14,9736,560,4876,277,1,0,4977,552
广东,广州,2022-11-13,9176,662,4599,104,1,0,3876,656
广东,广州,2022-11-12,8514,668,4495,103,1,0,3464,662
广东,广州,2022-11-11,7846,695,4392,116,1,0,2921,694
广东,广州,2022-11-10,7151,473,4276,0,1,0,2358,466
广东,广州,2022-11-09,6678,425,4276,43,1,0,2430,423
广东,广州,2022-11-08,6253,483,4233,61,1,0,2546,478
