﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,梅州,2022-12-17,171,18,19,0,0,0,0,18
广东,梅州,2022-12-16,153,8,19,0,0,0,0,8
广东,梅州,2022-12-15,145,5,19,0,0,0,0,5
广东,梅州,2022-12-14,140,10,19,0,0,0,0,10
广东,梅州,2022-12-13,130,6,19,0,0,0,124,6
广东,梅州,2022-12-12,124,12,19,0,0,0,68,12
广东,梅州,2022-12-11,112,13,19,0,0,0,66,13
广东,梅州,2022-12-10,99,14,19,0,0,0,108,14
广东,梅州,2022-12-09,85,1,19,0,0,0,136,1
广东,梅州,2022-12-08,84,4,19,0,0,0,34,4
广东,梅州,2022-12-07,80,0,19,0,0,0,30,0
广东,梅州,2022-12-06,80,0,19,0,0,0,69,0
广东,梅州,2022-12-05,80,0,19,0,0,0,46,0
广东,梅州,2022-12-04,80,0,19,0,0,0,27,0
广东,梅州,2022-12-03,80,0,19,0,0,0,29,0
广东,梅州,2022-12-02,80,0,19,0,0,0,20,0
广东,梅州,2022-12-01,80,1,19,0,0,0,15,1
广东,梅州,2022-11-30,79,0,19,0,0,0,5,0
广东,梅州,2022-11-29,79,0,19,0,0,0,4,0
广东,梅州,2022-11-28,79,0,19,0,0,0,4,0
广东,梅州,2022-11-27,79,0,19,0,0,0,2,0
广东,梅州,2022-11-26,79,0,19,0,0,0,10,0
广东,梅州,2022-11-25,79,0,19,0,0,0,5,0
广东,梅州,2022-11-24,79,0,19,0,0,0,12,0
广东,梅州,2022-11-23,79,0,19,0,0,0,6,0
广东,梅州,2022-11-22,79,0,19,0,0,0,6,0
广东,梅州,2022-11-21,79,0,19,0,0,0,12,0
广东,梅州,2022-11-20,79,0,19,0,0,0,9,0
广东,梅州,2022-11-19,79,1,19,0,0,0,0,1
广东,梅州,2022-11-18,78,0,19,0,0,0,0,0
广东,梅州,2022-11-17,78,0,19,0,0,0,2,0
广东,梅州,2022-11-16,78,0,19,0,0,0,0,0
广东,梅州,2022-11-15,78,0,19,0,0,0,4,0
广东,梅州,2022-11-14,78,0,19,0,0,0,2,0
广东,梅州,2022-11-13,78,0,19,0,0,0,3,0
广东,梅州,2022-11-12,78,0,19,0,0,0,10,0
广东,梅州,2022-11-11,78,0,19,0,0,0,16,0
广东,梅州,2022-11-10,78,0,19,0,0,0,23,0
广东,梅州,2022-11-09,78,0,19,0,0,0,18,0
广东,梅州,2022-11-08,78,0,19,0,0,0,5,0
广东,梅州,2022-11-07,78,0,19,0,0,0,4,0
广东,梅州,2022-11-06,78,0,19,0,0,0,7,0
广东,梅州,2022-11-05,78,0,19,0,0,0,10,0
广东,梅州,2022-11-04,78,0,19,0,0,0,9,0
广东,梅州,2022-11-03,78,6,19,0,0,0,9,6
广东,梅州,2022-11-02,72,3,19,0,0,0,17,3
广东,梅州,2022-11-01,69,9,19,0,0,0,26,9
广东,梅州,2022-10-31,60,16,19,0,0,0,154,16
广东,梅州,2022-10-30,44,12,19,0,0,0,76,12
广东,梅州,2022-10-29,32,0,19,0,0,0,12,0
广东,梅州,2022-10-28,32,0,19,0,0,0,10,0
广东,梅州,2022-10-27,32,0,19,0,0,0,10,0
广东,梅州,2022-10-26,32,0,19,0,0,0,29,0
广东,梅州,2022-10-25,32,0,19,0,0,0,7,0
广东,梅州,2022-10-24,32,3,19,0,0,0,8,3
广东,梅州,2022-10-23,29,0,19,0,0,0,3,0
广东,梅州,2022-10-22,29,0,19,0,0,0,0,0
广东,梅州,2022-10-21,29,0,19,0,0,0,0,0
广东,梅州,2022-10-20,29,0,19,0,0,0,0,0
广东,梅州,2022-10-19,29,0,19,0,0,0,0,0
广东,梅州,2022-10-18,29,0,19,0,0,0,0,0
广东,梅州,2022-10-17,29,0,19,0,0,0,0,0
广东,梅州,2022-10-16,29,0,19,0,0,0,0,0
广东,梅州,2022-10-15,29,0,19,0,0,0,0,0
广东,梅州,2022-10-14,29,0,19,0,0,0,0,0
广东,梅州,2022-10-13,29,0,19,0,0,0,0,0
广东,梅州,2022-10-12,29,0,19,0,0,0,0,0
广东,梅州,2022-10-11,29,0,19,0,0,0,0,0
广东,梅州,2022-10-10,29,0,19,0,0,0,0,0
