﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,深圳,2022-12-17,6653,63,4897,0,3,0,0,60
广东,深圳,2022-12-16,6590,63,4897,0,3,0,0,61
广东,深圳,2022-12-15,6527,58,4897,0,3,0,0,57
广东,深圳,2022-12-14,6469,72,4897,0,3,0,0,71
广东,深圳,2022-12-13,6397,85,4897,0,3,0,29,83
广东,深圳,2022-12-12,6312,78,4897,0,3,0,37,78
广东,深圳,2022-12-11,6234,87,4897,0,3,0,39,81
广东,深圳,2022-12-10,6147,75,4897,63,3,0,52,73
广东,深圳,2022-12-09,6072,63,4834,0,3,0,68,62
广东,深圳,2022-12-08,6009,68,4834,106,3,0,72,67
广东,深圳,2022-12-07,5941,56,4728,34,3,0,108,49
广东,深圳,2022-12-06,5885,118,4694,34,3,0,68,116
广东,深圳,2022-12-05,5767,138,4660,29,3,0,92,131
广东,深圳,2022-12-04,5629,156,4631,64,3,0,101,146
广东,深圳,2022-12-03,5473,126,4567,0,3,0,107,119
广东,深圳,2022-12-02,5347,121,4567,20,3,0,107,116
广东,深圳,2022-12-01,5226,87,4547,17,3,0,94,81
广东,深圳,2022-11-30,5139,94,4530,15,3,0,141,87
广东,深圳,2022-11-29,5045,82,4515,16,3,0,125,74
广东,深圳,2022-11-28,4963,69,4499,8,3,0,136,65
广东,深圳,2022-11-27,4894,61,4491,17,3,0,72,54
广东,深圳,2022-11-26,4833,60,4474,10,3,0,32,51
广东,深圳,2022-11-25,4773,33,4464,3,3,0,27,24
广东,深圳,2022-11-24,4740,39,4461,21,3,0,15,28
广东,深圳,2022-11-23,4701,42,4440,0,3,0,33,33
广东,深圳,2022-11-22,4659,22,4440,21,3,0,25,15
广东,深圳,2022-11-21,4637,27,4419,37,3,0,14,16
广东,深圳,2022-11-20,4610,28,4382,0,3,0,14,6
广东,深圳,2022-11-19,4582,17,4382,0,3,0,10,6
广东,深圳,2022-11-18,4565,17,4382,21,3,0,14,9
广东,深圳,2022-11-17,4548,13,4361,0,3,0,5,7
广东,深圳,2022-11-16,4535,11,4361,19,3,0,1,6
广东,深圳,2022-11-15,4524,18,4342,8,3,0,3,9
广东,深圳,2022-11-14,4506,9,4334,48,3,0,4,1
广东,深圳,2022-11-13,4497,14,4286,0,3,0,4,2
广东,深圳,2022-11-12,4483,12,4286,0,3,0,9,5
广东,深圳,2022-11-11,4471,9,4286,22,3,0,5,2
广东,深圳,2022-11-10,4462,16,4264,0,3,0,1,3
广东,深圳,2022-11-09,4446,9,4264,14,3,0,2,0
广东,深圳,2022-11-08,4437,9,4250,0,3,0,2,1
广东,深圳,2022-11-07,4428,11,4250,11,3,0,0,1
广东,深圳,2022-11-06,4417,10,4239,0,3,0,1,3
广东,深圳,2022-11-05,4407,15,4239,15,3,0,1,1
广东,深圳,2022-11-04,4392,11,4224,0,3,0,3,4
广东,深圳,2022-11-03,4381,20,4224,8,3,0,3,9
广东,深圳,2022-11-02,4361,17,4216,11,3,0,1,10
广东,深圳,2022-11-01,4344,21,4205,21,3,0,5,18
广东,深圳,2022-10-31,4323,27,4184,0,3,0,6,23
广东,深圳,2022-10-30,4296,24,4184,16,3,0,9,21
广东,深圳,2022-10-29,4272,12,4168,15,3,0,4,6
广东,深圳,2022-10-28,4260,13,4153,22,3,0,4,2
广东,深圳,2022-10-27,4247,7,4131,23,3,0,0,2
广东,深圳,2022-10-26,4240,2,4108,25,3,0,2,0
广东,深圳,2022-10-25,4238,6,4083,33,3,0,3,2
广东,深圳,2022-10-24,4232,9,4050,39,3,0,1,3
广东,深圳,2022-10-23,4223,7,4011,18,3,0,3,0
广东,深圳,2022-10-22,4216,16,3993,17,3,0,6,11
广东,深圳,2022-10-21,4200,13,3976,16,3,0,3,7
广东,深圳,2022-10-20,4187,16,3960,17,3,0,5,9
广东,深圳,2022-10-19,4171,12,3943,22,3,0,5,10
广东,深圳,2022-10-18,4159,15,3921,22,3,0,9,11
广东,深圳,2022-10-17,4144,16,3899,0,3,0,10,10
广东,深圳,2022-10-16,4128,18,3899,43,3,0,5,10
广东,深圳,2022-10-15,4110,18,3856,16,3,0,8,7
广东,深圳,2022-10-14,4092,39,3840,37,3,0,10,26
广东,深圳,2022-10-13,4053,30,3803,0,3,0,11,21
广东,深圳,2022-10-12,4023,30,3803,14,3,0,7,19
广东,深圳,2022-10-11,3993,29,3789,38,3,0,6,23
广东,深圳,2022-10-10,3964,26,3751,17,3,0,19,14
广东,深圳,2022-10-09,3938,19,3734,0,3,0,1,9
广东,深圳,2022-10-08,3919,9,3734,0,3,0,3,4
广东,深圳,2022-10-07,3910,8,3734,15,3,0,1,3
广东,深圳,2022-10-06,3902,19,3719,31,3,0,3,4
广东,深圳,2022-10-05,3883,17,3688,0,3,0,4,6
广东,深圳,2022-10-04,3866,16,3688,0,3,0,10,11
广东,深圳,2022-10-03,3850,17,3688,9,3,0,4,7
广东,深圳,2022-10-02,3833,17,3679,7,3,0,18,14
广东,深圳,2022-10-01,3816,25,3672,0,3,0,8,16
广东,深圳,2022-09-30,3791,22,3672,12,3,0,19,16
广东,深圳,2022-09-29,3769,20,3660,8,3,0,12,15
广东,深圳,2022-09-28,3749,16,3652,5,3,0,2,13
广东,深圳,2022-09-27,3733,8,3647,23,3,0,0,3
广东,深圳,2022-09-26,3725,14,3624,12,3,0,3,7
广东,深圳,2022-09-25,3711,12,3612,13,3,0,5,5
广东,深圳,2022-09-24,3699,1,3599,18,3,0,0,1
广东,深圳,2022-09-23,3698,6,3581,31,3,0,0,1
广东,深圳,2022-09-22,3692,9,3550,61,3,0,0,1
广东,深圳,2022-09-21,3683,2,3489,0,3,0,0,0
广东,深圳,2022-09-20,3681,7,3489,37,3,0,0,2
广东,深圳,2022-09-19,3674,5,3452,92,3,0,0,0
广东,深圳,2022-09-18,3669,4,3360,0,3,0,0,0
广东,深圳,2022-09-17,3665,4,3360,42,3,0,1,1
广东,深圳,2022-09-16,3661,5,3318,45,3,0,0,2
广东,深圳,2022-09-15,3656,8,3273,95,3,0,0,3
广东,深圳,2022-09-14,3648,9,3178,0,3,0,1,4
广东,深圳,2022-09-13,3639,12,3178,58,3,0,3,5
广东,深圳,2022-09-12,3627,12,3120,50,3,0,4,4
广东,深圳,2022-09-11,3615,17,3070,0,3,0,11,14
广东,深圳,2022-09-10,3598,16,3070,0,3,0,8,12
广东,深圳,2022-09-09,3582,33,3070,12,3,0,6,22
广东,深圳,2022-09-08,3549,31,3058,12,3,0,28,26
广东,深圳,2022-09-07,3518,21,3046,12,3,0,7,18
