﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,清远,2022-12-17,418,1,24,0,0,0,0,1
广东,清远,2022-12-16,417,7,24,0,0,0,0,7
广东,清远,2022-12-15,410,6,24,0,0,0,0,6
广东,清远,2022-12-14,404,3,24,0,0,0,0,3
广东,清远,2022-12-13,401,2,24,0,0,0,80,2
广东,清远,2022-12-12,399,11,24,0,0,0,74,11
广东,清远,2022-12-11,388,3,24,0,0,0,80,3
广东,清远,2022-12-10,385,5,24,0,0,0,77,5
广东,清远,2022-12-09,380,7,24,0,0,0,72,7
广东,清远,2022-12-08,373,17,24,0,0,0,61,17
广东,清远,2022-12-07,356,20,24,0,0,0,62,20
广东,清远,2022-12-06,336,22,24,0,0,0,91,22
广东,清远,2022-12-05,314,21,24,0,0,0,69,21
广东,清远,2022-12-04,293,17,24,0,0,0,51,17
广东,清远,2022-12-03,276,20,24,0,0,0,50,20
广东,清远,2022-12-02,256,7,24,0,0,0,53,7
广东,清远,2022-12-01,249,7,24,0,0,0,38,7
广东,清远,2022-11-30,242,8,24,0,0,0,23,8
广东,清远,2022-11-29,234,8,24,0,0,0,29,8
广东,清远,2022-11-28,226,9,24,0,0,0,31,9
广东,清远,2022-11-27,217,10,24,0,0,0,12,10
广东,清远,2022-11-26,207,2,24,0,0,0,7,2
广东,清远,2022-11-25,205,6,24,0,0,0,8,6
广东,清远,2022-11-24,199,6,24,0,0,0,5,6
广东,清远,2022-11-23,193,3,24,0,0,0,7,3
广东,清远,2022-11-22,190,3,24,0,0,0,5,3
广东,清远,2022-11-21,187,2,24,0,0,0,8,2
广东,清远,2022-11-20,185,4,24,0,0,0,9,4
广东,清远,2022-11-19,181,3,24,0,0,0,6,3
广东,清远,2022-11-18,178,0,24,0,0,0,3,0
广东,清远,2022-11-17,178,1,24,0,0,0,2,1
广东,清远,2022-11-16,177,2,24,0,0,0,0,2
广东,清远,2022-11-15,175,2,24,0,0,0,1,2
广东,清远,2022-11-14,173,5,24,0,0,0,4,5
广东,清远,2022-11-13,168,19,24,0,0,0,3,19
广东,清远,2022-11-12,149,18,24,0,0,0,5,18
广东,清远,2022-11-11,131,17,24,0,0,0,6,17
广东,清远,2022-11-10,114,18,24,0,0,0,4,18
广东,清远,2022-11-09,96,13,24,0,0,0,6,13
广东,清远,2022-11-08,83,20,24,0,0,0,4,20
广东,清远,2022-11-07,63,12,24,0,0,0,5,12
广东,清远,2022-11-06,51,5,24,0,0,0,2,5
广东,清远,2022-11-05,46,1,24,0,0,0,1,1
广东,清远,2022-11-04,45,0,24,0,0,0,0,0
广东,清远,2022-11-03,45,0,24,0,0,0,0,0
广东,清远,2022-11-02,45,0,24,0,0,0,0,0
广东,清远,2022-11-01,45,1,24,0,0,0,0,1
广东,清远,2022-10-31,44,1,24,0,0,0,0,1
广东,清远,2022-10-30,43,0,24,0,0,0,1,0
广东,清远,2022-10-29,43,0,24,0,0,0,0,0
广东,清远,2022-10-28,43,0,24,0,0,0,1,0
广东,清远,2022-10-27,43,0,24,0,0,0,0,0
广东,清远,2022-10-26,43,0,24,0,0,0,0,0
广东,清远,2022-10-25,43,0,24,0,0,0,0,0
广东,清远,2022-10-24,43,0,24,0,0,0,0,0
广东,清远,2022-10-23,43,1,24,0,0,0,0,1
广东,清远,2022-10-22,42,0,24,0,0,0,0,0
广东,清远,2022-10-21,42,0,24,0,0,0,0,0
广东,清远,2022-10-20,42,1,24,0,0,0,0,1
广东,清远,2022-10-19,41,0,24,0,0,0,0,0
广东,清远,2022-10-18,41,3,24,0,0,0,0,3
广东,清远,2022-10-17,38,1,24,0,0,0,0,1
广东,清远,2022-10-16,37,0,24,0,0,0,0,0
广东,清远,2022-10-15,37,1,24,0,0,0,0,1
广东,清远,2022-10-14,36,0,24,0,0,0,0,0
广东,清远,2022-10-13,36,1,24,0,0,0,0,1
广东,清远,2022-10-12,35,1,24,0,0,0,0,1
广东,清远,2022-10-11,34,1,24,0,0,0,0,1
广东,清远,2022-10-10,33,1,24,0,0,0,0,1
广东,清远,2022-10-09,32,0,24,0,0,0,0,0
广东,清远,2022-10-08,32,0,24,0,0,0,0,0
广东,清远,2022-10-07,32,0,24,0,0,0,0,0
广东,清远,2022-10-06,32,1,24,0,0,0,0,1
广东,清远,2022-10-05,31,0,24,0,0,0,1,0
广东,清远,2022-10-04,31,0,24,0,0,0,0,0
广东,清远,2022-10-03,31,1,24,0,0,0,0,1
广东,清远,2022-10-02,30,0,24,0,0,0,0,0
广东,清远,2022-10-01,30,0,24,0,0,0,0,0
广东,清远,2022-09-30,30,0,24,0,0,0,0,0
广东,清远,2022-09-29,30,0,24,0,0,0,0,0
广东,清远,2022-09-28,30,0,24,0,0,0,0,0
广东,清远,2022-09-27,30,0,24,0,0,0,0,0
广东,清远,2022-09-26,30,0,24,0,0,0,0,0
广东,清远,2022-09-25,30,0,24,0,0,0,0,0
广东,清远,2022-09-24,30,0,24,0,0,0,0,0
广东,清远,2022-09-23,30,0,24,0,0,0,0,0
广东,清远,2022-09-22,30,0,24,0,0,0,0,0
广东,清远,2022-09-21,30,2,24,0,0,0,0,1
广东,清远,2022-09-20,28,2,24,0,0,0,1,1
广东,清远,2022-09-19,26,0,24,0,0,0,0,0
广东,清远,2022-09-18,26,1,24,0,0,0,0,1
广东,清远,2022-09-17,25,0,24,0,0,0,0,0
广东,清远,2022-09-16,25,0,24,0,0,0,0,0
广东,清远,2022-09-15,25,0,24,0,0,0,0,0
广东,清远,2022-09-14,25,0,24,0,0,0,0,0
广东,清远,2022-09-13,25,0,24,0,0,0,0,0
广东,清远,2022-09-12,25,0,24,0,0,0,0,0
广东,清远,2022-09-11,25,0,24,0,0,0,0,0
广东,清远,2022-09-10,25,0,24,0,0,0,0,0
广东,清远,2022-09-09,25,0,24,0,0,0,0,0
广东,清远,2022-09-08,25,0,24,0,0,0,0,0
广东,清远,2022-09-07,25,0,24,0,0,0,0,0
广东,清远,2022-09-06,25,0,24,0,0,0,0,0
广东,清远,2022-09-05,25,0,24,0,0,0,0,0
广东,清远,2022-09-04,25,0,24,0,0,0,0,0
广东,清远,2022-09-03,25,0,24,0,0,0,0,0
广东,清远,2022-09-02,25,0,24,0,0,0,0,0
广东,清远,2022-09-01,25,0,24,0,0,0,0,0
广东,清远,2022-08-31,25,0,24,0,0,0,0,0
广东,清远,2022-08-30,25,0,24,0,0,0,0,0
广东,清远,2022-08-29,25,0,24,0,0,0,0,0
广东,清远,2022-08-28,25,0,24,0,0,0,0,0
广东,清远,2022-08-27,25,0,24,0,0,0,0,0
广东,清远,2022-08-26,25,0,24,0,0,0,0,0
广东,清远,2022-08-25,25,0,24,0,0,0,0,0
广东,清远,2022-08-24,25,0,24,0,0,0,0,0
广东,清远,2022-08-23,25,0,24,0,0,0,0,0
广东,清远,2022-08-22,25,1,24,0,0,0,0,1
广东,清远,2022-08-21,24,0,24,0,0,0,0,0
广东,清远,2022-08-20,24,0,24,0,0,0,0,0
广东,清远,2022-08-19,24,0,24,0,0,0,0,0
广东,清远,2022-08-18,24,0,24,0,0,0,0,0
广东,清远,2022-08-17,24,0,24,0,0,0,0,0
广东,清远,2022-08-16,24,0,24,0,0,0,0,0
广东,清远,2022-08-15,24,0,24,0,0,0,0,0
广东,清远,2022-08-14,24,0,24,0,0,0,0,0
广东,清远,2022-08-13,24,0,24,0,0,0,0,0
广东,清远,2022-08-12,24,0,24,0,0,0,0,0
广东,清远,2022-08-11,24,0,24,0,0,0,0,0
广东,清远,2022-08-10,24,0,24,0,0,0,0,0
广东,清远,2022-08-09,24,0,24,0,0,0,0,0
广东,清远,2022-08-08,24,0,24,0,0,0,0,0
广东,清远,2022-08-07,24,0,24,0,0,0,0,0
广东,清远,2022-08-06,24,0,24,0,0,0,0,0
广东,清远,2022-08-05,24,0,24,0,0,0,0,0
广东,清远,2022-08-04,24,0,24,0,0,0,0,0
广东,清远,2022-08-03,24,0,24,0,0,0,0,0
广东,清远,2022-08-02,24,0,24,0,0,0,0,0
广东,清远,2022-08-01,24,0,24,0,0,0,0,0
广东,清远,2022-07-31,24,0,24,0,0,0,0,0
广东,清远,2022-07-30,24,0,24,0,0,0,0,0
广东,清远,2022-07-29,24,0,24,0,0,0,0,0
广东,清远,2022-07-28,24,0,24,0,0,0,0,0
广东,清远,2022-07-27,24,0,24,0,0,0,0,0
广东,清远,2022-07-26,24,0,24,1,0,0,0,0
广东,清远,2022-07-25,24,0,23,0,0,0,0,0
广东,清远,2022-07-24,24,0,23,0,0,0,0,0
广东,清远,2022-07-23,24,0,23,0,0,0,0,0
广东,清远,2022-07-22,24,0,23,0,0,0,0,0
广东,清远,2022-07-21,24,0,23,0,0,0,0,0
广东,清远,2022-07-20,24,0,23,0,0,0,0,0
广东,清远,2022-07-19,24,0,23,0,0,0,0,0
广东,清远,2022-07-18,24,0,23,0,0,0,0,0
广东,清远,2022-07-17,24,0,23,0,0,0,0,0
广东,清远,2022-07-16,24,0,23,0,0,0,0,0
广东,清远,2022-07-15,24,0,23,0,0,0,0,0
广东,清远,2022-07-14,24,0,23,0,0,0,3,0
广东,清远,2022-07-13,24,0,23,0,0,0,0,0
广东,清远,2022-07-12,24,1,23,0,0,0,1,1
广东,清远,2022-07-11,23,0,23,0,0,0,8,0
广东,清远,2022-07-10,23,0,23,0,0,0,0,0
广东,清远,2022-07-09,23,0,23,0,0,0,0,0
广东,清远,2022-07-08,23,0,23,0,0,0,0,0
广东,清远,2022-07-07,23,0,23,0,0,0,0,0
广东,清远,2022-07-06,23,0,23,0,0,0,0,0
广东,清远,2022-07-05,23,0,23,0,0,0,0,0
广东,清远,2022-07-04,23,0,23,0,0,0,0,0
广东,清远,2022-07-03,23,0,23,0,0,0,0,0
广东,清远,2022-07-02,23,0,23,0,0,0,0,0
广东,清远,2022-07-01,23,0,23,0,0,0,0,0
广东,清远,2022-06-30,23,0,23,0,0,0,0,0
广东,清远,2022-06-29,23,0,23,0,0,0,0,0
广东,清远,2022-06-28,23,0,23,0,0,0,0,0
广东,清远,2022-06-27,23,0,23,0,0,0,0,0
广东,清远,2022-06-26,23,0,23,0,0,0,0,0
广东,清远,2022-06-25,23,0,23,0,0,0,0,0
广东,清远,2022-06-24,23,0,23,0,0,0,0,0
