﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,珠海,2022-12-17,963,51,465,0,1,0,0,51
广东,珠海,2022-12-16,912,21,465,0,1,0,0,21
广东,珠海,2022-12-15,891,24,465,0,1,0,0,24
广东,珠海,2022-12-14,867,9,465,0,1,0,0,9
广东,珠海,2022-12-13,858,14,465,0,1,0,26,14
广东,珠海,2022-12-12,844,29,465,0,1,0,12,29
广东,珠海,2022-12-11,815,19,465,0,1,0,18,19
广东,珠海,2022-12-10,796,19,465,0,1,0,17,19
广东,珠海,2022-12-09,777,35,465,0,1,0,62,35
广东,珠海,2022-12-08,742,31,465,0,1,0,61,31
广东,珠海,2022-12-07,711,21,465,0,1,0,86,20
广东,珠海,2022-12-06,690,19,465,0,1,0,66,19
广东,珠海,2022-12-05,671,18,465,0,1,0,25,18
广东,珠海,2022-12-04,653,7,465,0,1,0,32,7
广东,珠海,2022-12-03,646,2,465,0,1,0,25,2
广东,珠海,2022-12-02,644,6,465,0,1,0,19,6
广东,珠海,2022-12-01,638,3,465,0,1,0,20,3
广东,珠海,2022-11-30,635,3,465,0,1,0,9,3
广东,珠海,2022-11-29,632,6,465,0,1,0,5,6
广东,珠海,2022-11-28,626,7,465,0,1,0,5,7
广东,珠海,2022-11-27,619,7,465,0,1,0,12,6
广东,珠海,2022-11-26,612,5,465,0,1,0,3,5
广东,珠海,2022-11-25,607,12,465,0,1,0,9,12
广东,珠海,2022-11-24,595,18,465,0,1,0,12,18
广东,珠海,2022-11-23,577,10,465,0,1,0,5,10
广东,珠海,2022-11-22,567,6,465,0,1,0,10,5
广东,珠海,2022-11-21,561,8,465,0,1,0,3,7
广东,珠海,2022-11-20,553,4,465,0,1,0,4,4
广东,珠海,2022-11-19,549,9,465,0,1,0,11,7
广东,珠海,2022-11-18,540,11,465,0,1,0,9,10
广东,珠海,2022-11-17,529,0,465,0,1,0,10,0
广东,珠海,2022-11-16,529,1,465,0,1,0,8,1
广东,珠海,2022-11-15,528,6,465,0,1,0,3,5
广东,珠海,2022-11-14,522,3,465,0,1,0,1,2
广东,珠海,2022-11-13,519,3,465,0,1,0,2,3
广东,珠海,2022-11-12,516,2,465,0,1,0,3,1
广东,珠海,2022-11-11,514,1,465,0,1,0,1,0
广东,珠海,2022-11-10,513,3,465,0,1,0,0,0
广东,珠海,2022-11-09,510,2,465,0,1,0,0,0
广东,珠海,2022-11-08,508,2,465,0,1,0,0,0
广东,珠海,2022-11-07,506,1,465,0,1,0,0,1
广东,珠海,2022-11-06,505,1,465,0,1,0,1,0
广东,珠海,2022-11-05,504,0,465,0,1,0,0,0
广东,珠海,2022-11-04,504,0,465,0,1,0,0,0
广东,珠海,2022-11-03,504,1,465,0,1,0,0,0
广东,珠海,2022-11-02,503,1,465,0,1,0,1,0
广东,珠海,2022-11-01,502,1,465,0,1,0,2,0
广东,珠海,2022-10-31,501,0,465,0,1,0,0,0
广东,珠海,2022-10-30,501,0,465,0,1,0,0,0
广东,珠海,2022-10-29,501,1,465,0,1,0,1,0
广东,珠海,2022-10-28,500,1,465,0,1,0,1,0
广东,珠海,2022-10-27,499,0,465,0,1,0,0,0
广东,珠海,2022-10-26,499,0,465,0,1,0,0,0
广东,珠海,2022-10-25,499,0,465,0,1,0,0,0
广东,珠海,2022-10-24,499,1,465,0,1,0,0,0
广东,珠海,2022-10-23,498,0,465,0,1,0,0,0
广东,珠海,2022-10-22,498,0,465,0,1,0,0,0
广东,珠海,2022-10-21,498,2,465,0,1,0,0,0
广东,珠海,2022-10-20,496,1,465,0,1,0,0,0
广东,珠海,2022-10-19,495,0,465,0,1,0,0,0
广东,珠海,2022-10-18,495,0,465,0,1,0,0,0
广东,珠海,2022-10-17,495,0,465,0,1,0,1,0
广东,珠海,2022-10-16,495,0,465,0,1,0,0,0
广东,珠海,2022-10-15,495,0,465,0,1,0,0,0
广东,珠海,2022-10-14,495,2,465,0,1,0,0,0
广东,珠海,2022-10-13,493,2,465,0,1,0,0,1
广东,珠海,2022-10-12,491,2,465,0,1,0,0,2
广东,珠海,2022-10-11,489,0,465,0,1,0,2,0
广东,珠海,2022-10-10,489,3,465,0,1,0,0,2
广东,珠海,2022-10-09,486,2,465,0,1,0,3,2
广东,珠海,2022-10-08,484,1,465,0,1,0,2,0
广东,珠海,2022-10-07,483,0,465,0,1,0,0,0
广东,珠海,2022-10-06,483,2,465,0,1,0,0,2
广东,珠海,2022-10-05,481,0,465,0,1,0,0,0
广东,珠海,2022-10-04,481,1,465,0,1,0,1,0
广东,珠海,2022-10-03,480,0,465,10,1,0,0,0
广东,珠海,2022-10-02,480,0,455,0,1,0,0,0
广东,珠海,2022-10-01,480,0,455,0,1,0,2,0
广东,珠海,2022-09-30,480,1,455,1,1,0,0,0
广东,珠海,2022-09-29,479,0,454,16,1,0,0,0
广东,珠海,2022-09-28,479,1,438,0,1,0,0,0
广东,珠海,2022-09-27,478,1,438,0,1,0,0,0
广东,珠海,2022-09-26,477,0,438,2,1,0,0,0
广东,珠海,2022-09-25,477,1,436,0,1,0,0,0
广东,珠海,2022-09-24,476,0,436,0,1,0,0,0
广东,珠海,2022-09-23,476,0,436,0,1,0,0,0
广东,珠海,2022-09-22,476,0,436,0,1,0,0,0
广东,珠海,2022-09-21,476,0,436,0,1,0,0,0
广东,珠海,2022-09-20,476,0,436,0,1,0,0,0
广东,珠海,2022-09-19,476,0,436,0,1,0,0,0
广东,珠海,2022-09-18,476,1,436,0,1,0,0,0
广东,珠海,2022-09-17,475,0,436,0,1,0,0,0
广东,珠海,2022-09-16,475,1,436,0,1,0,0,0
广东,珠海,2022-09-15,474,0,436,0,1,0,0,0
广东,珠海,2022-09-14,474,0,436,0,1,0,0,0
广东,珠海,2022-09-13,474,0,436,0,1,0,0,0
广东,珠海,2022-09-12,474,0,436,0,1,0,0,0
广东,珠海,2022-09-11,474,3,436,0,1,0,0,0
广东,珠海,2022-09-10,471,0,436,0,1,0,0,0
广东,珠海,2022-09-09,471,1,436,0,1,0,0,0
广东,珠海,2022-09-08,470,0,436,0,1,0,0,0
广东,珠海,2022-09-07,470,0,436,0,1,0,0,0
广东,珠海,2022-09-06,470,2,436,0,1,0,0,0
广东,珠海,2022-09-05,468,1,436,0,1,0,0,0
广东,珠海,2022-09-04,467,0,436,0,1,0,0,0
广东,珠海,2022-09-03,467,2,436,0,1,0,0,0
广东,珠海,2022-09-02,465,1,436,0,1,0,0,0
广东,珠海,2022-09-01,464,0,436,0,1,0,0,0
广东,珠海,2022-08-31,464,1,436,0,1,0,0,0
广东,珠海,2022-08-30,463,0,436,0,1,0,0,0
广东,珠海,2022-08-29,463,0,436,0,1,0,0,0
广东,珠海,2022-08-28,463,2,436,0,1,0,0,0
