﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,茂名,2022-12-17,940,10,153,0,0,0,0,10
广东,茂名,2022-12-16,930,45,153,0,0,0,0,45
广东,茂名,2022-12-15,885,11,153,0,0,0,0,11
广东,茂名,2022-12-14,874,12,153,0,0,0,0,12
广东,茂名,2022-12-13,862,15,153,0,0,0,4,15
广东,茂名,2022-12-12,847,0,153,0,0,0,42,0
广东,茂名,2022-12-11,847,3,153,0,0,0,28,3
广东,茂名,2022-12-10,844,5,153,0,0,0,73,5
广东,茂名,2022-12-09,839,11,153,0,0,0,57,11
广东,茂名,2022-12-08,828,21,153,0,0,0,56,21
广东,茂名,2022-12-07,807,37,153,0,0,0,48,37
广东,茂名,2022-12-06,770,25,153,0,0,0,49,25
广东,茂名,2022-12-05,745,83,153,0,0,0,15,83
广东,茂名,2022-12-04,662,50,153,0,0,0,18,50
广东,茂名,2022-12-03,612,54,153,0,0,0,8,54
广东,茂名,2022-12-02,558,35,153,0,0,0,17,35
广东,茂名,2022-12-01,523,25,153,0,0,0,6,25
广东,茂名,2022-11-30,498,19,153,0,0,0,5,19
广东,茂名,2022-11-29,479,9,153,0,0,0,2,9
广东,茂名,2022-11-28,470,2,153,0,0,0,3,2
广东,茂名,2022-11-27,468,5,153,0,0,0,0,5
广东,茂名,2022-11-26,463,4,153,0,0,0,0,4
广东,茂名,2022-11-25,459,6,153,0,0,0,1,6
广东,茂名,2022-11-24,453,11,153,0,0,0,1,11
广东,茂名,2022-11-23,442,6,153,0,0,0,2,6
广东,茂名,2022-11-22,436,2,153,63,0,0,0,2
广东,茂名,2022-11-21,434,0,90,0,0,0,0,0
广东,茂名,2022-11-20,434,0,90,0,0,0,1,0
广东,茂名,2022-11-19,434,1,90,0,0,0,0,1
广东,茂名,2022-11-18,433,4,90,0,0,0,1,4
广东,茂名,2022-11-17,429,5,90,0,0,0,0,5
广东,茂名,2022-11-16,424,2,90,0,0,0,4,2
广东,茂名,2022-11-15,422,8,90,0,0,0,0,8
广东,茂名,2022-11-14,414,11,90,0,0,0,2,11
广东,茂名,2022-11-13,403,17,90,0,0,0,7,17
