﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,韶关,2022-12-17,422,6,12,0,1,0,0,6
广东,韶关,2022-12-16,416,6,12,0,1,0,0,6
广东,韶关,2022-12-15,410,7,12,0,1,0,0,7
广东,韶关,2022-12-14,403,6,12,0,1,0,0,6
广东,韶关,2022-12-13,397,11,12,0,1,0,0,11
广东,韶关,2022-12-12,386,9,12,0,1,0,77,9
广东,韶关,2022-12-11,377,22,12,0,1,0,75,22
广东,韶关,2022-12-10,355,28,12,0,1,0,62,28
广东,韶关,2022-12-09,327,13,12,0,1,0,69,13
广东,韶关,2022-12-08,314,27,12,0,1,0,63,27
广东,韶关,2022-12-07,287,20,12,0,1,0,49,20
广东,韶关,2022-12-06,267,13,12,0,1,0,40,13
广东,韶关,2022-12-05,254,34,12,0,1,0,33,34
广东,韶关,2022-12-04,220,40,12,0,1,0,16,40
广东,韶关,2022-12-03,180,35,12,0,1,0,7,35
广东,韶关,2022-12-02,145,9,12,0,1,0,4,9
广东,韶关,2022-12-01,136,8,12,0,1,0,3,8
广东,韶关,2022-11-30,128,7,12,0,1,0,2,7
广东,韶关,2022-11-29,121,11,12,0,1,0,1,11
广东,韶关,2022-11-28,110,10,12,0,1,0,5,10
广东,韶关,2022-11-27,100,7,12,0,1,0,1,7
广东,韶关,2022-11-26,93,4,12,0,1,0,14,4
广东,韶关,2022-11-25,89,7,12,0,1,0,2,7
广东,韶关,2022-11-24,82,8,12,0,1,0,4,8
广东,韶关,2022-11-23,74,2,12,0,1,0,0,2
广东,韶关,2022-11-22,72,4,12,0,1,0,0,4
广东,韶关,2022-11-21,68,1,12,0,1,0,0,1
广东,韶关,2022-11-20,67,1,12,0,1,0,0,1
广东,韶关,2022-11-19,66,1,12,0,1,0,2,1
广东,韶关,2022-11-18,65,2,12,0,1,0,0,2
广东,韶关,2022-11-17,63,3,12,0,1,0,1,3
广东,韶关,2022-11-16,60,1,12,0,1,0,1,1
广东,韶关,2022-11-15,59,1,12,0,1,0,2,1
广东,韶关,2022-11-14,58,2,12,0,1,0,1,2
广东,韶关,2022-11-13,56,5,12,0,1,0,1,5
广东,韶关,2022-11-12,51,1,12,0,1,0,2,1
广东,韶关,2022-11-11,50,1,12,0,1,0,0,1
广东,韶关,2022-11-10,49,1,12,0,1,0,0,1
广东,韶关,2022-11-09,48,0,12,0,1,0,0,0
广东,韶关,2022-11-08,48,0,12,0,1,0,1,0
广东,韶关,2022-11-07,48,0,12,0,1,0,0,0
广东,韶关,2022-11-06,48,0,12,0,1,0,0,0
广东,韶关,2022-11-05,48,0,12,0,1,0,0,0
广东,韶关,2022-11-04,48,0,12,0,1,0,0,0
广东,韶关,2022-11-03,48,0,12,0,1,0,0,0
广东,韶关,2022-11-02,48,0,12,0,1,0,0,0
广东,韶关,2022-11-01,48,1,12,0,1,0,1,1
广东,韶关,2022-10-31,47,0,12,0,1,0,0,0
广东,韶关,2022-10-30,47,3,12,0,1,0,2,3
广东,韶关,2022-10-29,44,0,12,0,1,0,1,0
广东,韶关,2022-10-28,44,0,12,0,1,0,0,0
广东,韶关,2022-10-27,44,0,12,0,1,0,0,0
广东,韶关,2022-10-26,44,0,12,0,1,0,0,0
广东,韶关,2022-10-25,44,0,12,0,1,0,0,0
广东,韶关,2022-10-24,44,0,12,0,1,0,0,0
广东,韶关,2022-10-23,44,0,12,0,1,0,0,0
广东,韶关,2022-10-22,44,0,12,0,1,0,0,0
广东,韶关,2022-10-21,44,0,12,0,1,0,0,0
